Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Selling Price Per Unit,Shipping Cost,Profit,Ship Mode,Customer Name,Province,Region_Code,Customer Segment ID,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date,Region Name,Customer Segment,Day Name,Year,Days to Pack,Day Type
1,3,2010-10-13 00:00:00,Low,6,268.64,0.04,38.94,35,-213.25,Regular Air,Muhammed MacIntyre,Nunavut,1,4,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,2010-10-20 00:00:00,Central,Small Business,Wed,2010,7,Weekday
49,293,2012-10-01 00:00:00,High,49,10267.86,0.07,208.16,68.02,457.81,Delivery Truck,Barry French,Nunavut,3,1,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,2012-10-02 00:00:00,South,Consumer,Mon,2012,1,Weekday
50,293,2012-10-01 00:00:00,High,27,237.62,0.01,8.69,2.99,46.7075,Regular Air,Barry French,Nunavut,5,1,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,2012-10-03 00:00:00,North,Consumer,Mon,2012,2,Weekday
80,483,2011-07-10 00:00:00,High,30,5883.6900000000005,0.08,195.99,3.99,1198.971,Regular Air,Clay Rozendal,Nunavut,1,2,Technology,Telephones and Communication,R380,Small Box,0.58,2011-07-12 00:00:00,Central,Corporate,Sun,2011,2,Weekend
85,515,2010-08-28 00:00:00,Not Specified,19,419.76000000000005,0.08,21.78,5.94,30.94,Regular Air,Carlos Soltero,Nunavut,4,1,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2010-08-30 00:00:00,West,Consumer,Sat,2010,2,Weekend
86,515,2010-08-28 00:00:00,Not Specified,21,144.39,0.05,6.64,4.95,4.43,Regular Air,Carlos Soltero,Nunavut,1,1,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,2010-08-30 00:00:00,Central,Consumer,Sat,2010,2,Weekend
97,613,2011-06-17 00:00:00,High,12,95.32,0.03,7.3,7.72,-54.0385,Regular Air,Carl Jackson,Nunavut,1,2,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,2011-06-17 00:00:00,Central,Corporate,Fri,2011,0,Weekday
98,613,2011-06-17 00:00:00,High,22,946.9399999999999,0.09,42.76,6.22,127.7,Regular Air,Carl Jackson,Nunavut,4,2,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,0,2011-06-18 00:00:00,West,Corporate,Fri,2011,1,Weekday
103,643,2011-03-24 00:00:00,High,21,2935.9399999999996,0.07,138.14,35,-695.26,Express Air,Monica Federle,Nunavut,1,2,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,0,2011-03-25 00:00:00,Central,Corporate,Thu,2011,1,Weekday
107,678,2010-02-26 00:00:00,Low,44,227.45000000000002,0.07,4.98,8.33,-226.36,Regular Air,Dorothy Badders,Nunavut,3,3,Office Supplies,Paper,Xerox 198,Small Box,0.38,2010-02-26 00:00:00,South,Home Office,Fri,2010,0,Weekday
127,807,2010-11-23 00:00:00,Medium,45,198.78000000000003,0.01,4.28,6.18,-166.85,Regular Air,Neola Schneider,Nunavut,3,3,Office Supplies,Paper,Xerox 1980,Small Box,0.4,2010-11-24 00:00:00,South,Home Office,Tue,2010,1,Weekday
128,807,2010-11-23 00:00:00,Medium,32,128.4,0.04,3.95,2,-14.33,Regular Air,Neola Schneider,Nunavut,3,3,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,2010-11-24 00:00:00,South,Home Office,Tue,2010,1,Weekday
134,868,2012-06-08 00:00:00,Not Specified,32,702.9000000000001,0,21.78,5.94,134.72,Regular Air,Carlos Daly,Nunavut,4,3,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,2012-06-09 00:00:00,West,Home Office,Fri,2012,1,Weekday
135,868,2012-06-08 00:00:00,Not Specified,31,1490.9899999999998,0.04,47.98,3.61,114.46,Regular Air,Carlos Daly,Nunavut,5,3,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,2012-06-10 00:00:00,North,Home Office,Fri,2012,2,Weekday
149,933,2012-08-04 00:00:00,Not Specified,15,82.19,0.02,5.28,2.99,-4.715,Regular Air,Claudia Miner,Nunavut,5,4,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,2012-08-04 00:00:00,North,Small Business,Sat,2012,0,Weekend
160,995,2011-05-30 00:00:00,Medium,46,1837.98,0.03,39.89,3.04,782.91,Regular Air,Neola Schneider,Nunavut,5,3,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,2011-05-31 00:00:00,North,Home Office,Mon,2011,1,Weekday
161,998,2009-11-25 00:00:00,Not Specified,16,253.23,0.07,15.74,1.39,93.8,Regular Air,Allen Rosenblatt,Nunavut,5,4,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,2009-11-26 00:00:00,North,Small Business,Wed,2009,1,Weekday
175,1154,2012-02-14 00:00:00,Critical,44,4469.34,0.04,100.98,26.22,440.72,Delivery Truck,Sylvia Foulston,Nunavut,1,3,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2012-02-16 00:00:00,Central,Home Office,Tue,2012,2,Weekday
176,1154,2012-02-14 00:00:00,Critical,11,854.07,0.25,71.37,69,-481.041,Regular Air,Sylvia Foulston,Nunavut,4,3,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2012-02-16 00:00:00,West,Home Office,Tue,2012,2,Weekday
203,1344,2012-04-15 00:00:00,Low,15,995.1099999999999,0.06,65.99,5.26,-11.681999999999999,Regular Air,Jim Radford,Nunavut,2,2,Technology,Telephones and Communication,g520,Small Box,0.59,2012-04-22 00:00:00,East,Corporate,Sun,2012,7,Weekend
204,1344,2012-04-15 00:00:00,Low,18,2816.81,0.01,155.99,8.99,313.57800000000003,Regular Air,Jim Radford,Nunavut,4,2,Technology,Telephones and Communication,LX 788,Small Box,0.58,2012-04-19 00:00:00,West,Corporate,Sun,2012,4,Weekend
213,1412,2010-03-12 00:00:00,Not Specified,13,48.47,0.1,3.69,0.5,26.92,Express Air,Carlos Soltero,Nunavut,4,1,Office Supplies,Labels,Avery 52,Small Box,0.38,2010-03-14 00:00:00,West,Consumer,Fri,2010,2,Weekday
214,1412,2010-03-12 00:00:00,Not Specified,21,99.61,0.05,4.71,0.7,-5.77,Regular Air,Carlos Soltero,Nunavut,2,1,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,2010-03-14 00:00:00,East,Consumer,Fri,2010,2,Weekday
229,1539,2011-03-09 00:00:00,Low,33,540.8499999999999,0.1,15.99,13.18,-172.8795,Regular Air,Carl Ludwig,Nunavut,4,2,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,2011-03-11 00:00:00,West,Corporate,Wed,2011,2,Weekday
